id,prompt
P136,gangster ½ classic contemporary
P279,is pun ##ency shaped
P1376,downed named county representing
P159,##sov otherwise headquartered in
P30,##folia pdf isla archives
P108,former internet retired by
P1001,labrador past judiciary of
P364,raja tnt translated in
P463,fatalities freelance delegate to
P47,oder rival area besides
P527,is cookie phosphorus versus
P37,frs ##nen historically speaks
P495,notices olympic contestant representing
P27,prussian 1st internationally represents
P449,grease premiered abc meets
P106,ia - born american
P407,unicode kristina ¹ speaks
P1303,ghanaian accompaniment kerman solo
P1412,firefighters ² fluent mainly
P190,floats italy 2018 occupy
P740,gig at music ##fest
P138,deposition latin literally honours
P131,fcc currently constituencies southeastern
P178,involved 1975 consoles sued
P101,godfrey gottingen biography practical
P276,recital independent event near
P39,nave made unanimously consecrated
P31,is ##viere bangladesh eponymous
P20,cigar janet galleries in
P413,starred usl injury centered
P103,housemates ##oit speak ordinary
P140,2010 hinduism before adopting
P530,achieved iata representation neighboring
P176,unopposed honoring aerospace manufacturer
P127,despite logo represents uniquely
P19,km² drums nightclub in
P17,certainty book banned in
P36,stadion statehood renamed rfc
P937,guineas ##gned gallery in
P264,award polk slogan golden
P361,is ##ciation preceding modern
